src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.69,35.163.210.34,47924,443,6,2023-03-22 16:29:19,350155.8303833008,2276.129456783735,11.42348535399616,8.567614015497119,2.85587133849904,3,1,723,74,583.0,66.0,241.0,241.852572172939,74.0,74.0,74.0,0.0,583,66,199.25,221.5822364270205,49098.6875,60,20,20,1,116718.61012776692,349878.07273864746,36.47804260253906,164868.65831051828,350155.8303833008,349914.55078125,241.27960205078125,175077.9151916504,174836.6355895996,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,199.25,64240,26847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,74.0,0,3,1,723,74
35.186.224.47,192.168.1.69,443,56140,6,2023-03-22 16:29:20,15.020370483398438,8788065.523809524,133152.50793650793,66576.25396825396,66576.25396825396,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,267,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66
192.168.1.66,224.0.0.251,5353,5353,17,2023-03-22 16:29:20,0.0,0,0,0,0,1,0,793,0,793.0,793.0,793.0,0.0,0.0,0.0,0.0,0.0,793,793,793.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,793.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,0,1,0,793,0
35.163.210.34,192.168.1.69,443,47924,6,2023-03-22 16:29:20,641897.6783752441,6508.825535208746,23.368210394478503,14.020926236687103,9.347284157791401,9,6,1215,2963,540.0,66.0,135.0,146.47866738880444,2602.0,66.0,493.8333333333333,942.8687460204745,2602,66,278.53333333333336,631.962748550542,399376.9155555555,180,120,20,4,45840.28039659773,321052.78968811035,-83.20808410644531,111706.14742239601,641897.6783752441,321531.7726135254,0.0,80237.20979690552,138396.6823104206,320793.86711120605,320237.6365661621,18.835067749023438,64158.77342224121,128039.50025035326,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,278.53333333333336,110,501,317742.82455444336,387.43019104003906,159065.1273727417,158677.69718170166,320935.4877471924,317472.6963043213,319204.09202575684,1731.3957214355469,0.0,0.0,0.0,0.0,0.0,0.0,135.0,493.8333333333333,0,9,6,1215,2963
34.213.210.44,192.168.1.69,443,32822,6,2023-03-22 16:29:20,332955.59883117676,2706.066524073821,18.0204208040432,12.013613869362134,6.006806934681067,4,2,738,163,540.0,66.0,184.5,205.24802069691196,97.0,66.0,81.5,15.5,540,66,150.16666666666666,174.70586392244795,30522.138888888894,80,40,20,1,66591.11976623535,329214.81132507324,0.2384185791015625,131314.65884682137,332955.59883117676,330468.17779541016,0.2384185791015625,110985.19961039226,155201.2231643929,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,150.16666666666666,179,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.5,81.5,0,4,2,738,163
192.168.1.69,35.186.224.47,56140,443,6,2023-03-22 16:29:21,222760.43891906738,1481.4120568324727,17.95650977978755,8.978254889893774,8.978254889893774,2,2,167,163,101.0,66.0,83.5,17.5,97.0,66.0,81.5,15.5,101,66,82.5,16.560495161679196,274.25,40,40,20,1,74253.47963968913,200663.08975219727,23.84185791015625,89837.21976709893,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,82.5,501,267,0.0,0.0,0.0,0.0,178589.5824432373,22073.50730895996,100331.54487609863,78258.03756713867,0.0,0.0,0.0,0.0,0.0,0.0,83.5,81.5,0,2,2,167,163
192.168.1.69,192.168.1.66,1716,1716,17,2023-03-22 16:29:21,0.0,0,0,0,0,1,0,1514,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1514.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,0.0,0,1,0,1514,0
192.168.1.69,13.67.9.5,43724,443,6,2023-03-22 16:29:22,145576.47705078125,9829.88480687595,20.607724962004088,13.738483308002726,6.869241654001363,2,1,980,451,914.0,66.0,490.0,424.0,451.0,451.0,451.0,0.0,914,66,477.0,346.6823714391412,120188.66666666667,40,20,20,1,72788.23852539062,105270.3857421875,40306.09130859375,32482.147216796875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,477.0,501,1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,451.0,0,2,1,980,451
162.159.133.234,192.168.1.69,443,53690,6,2023-03-22 16:29:23,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
192.168.1.69,162.159.133.234,53690,443,6,2023-03-22 16:29:23,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,3024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
